Flight_ID,Date,Time,Departure_Airport,Arrival_Airport,Datetime,Hour,Weekday_numeric,Wind_Speed_knotstomph,Visibility_km_tomile,Temperature_Celsius_toFahrenheit,Season,Turbulence_LeveltoNumerical,Depart_Latitude,Depart_Longitude,Depart_Index,Arrive_Latitude,Arrive_Longitude,Arrive_Index,Distance_mile,TimeOfDay,TimeOfDay_num
142,2024-10-11,10:25:00,ATL,SEA,2024-10-11 10:25:00,10,5,51.78509999999999,11.808576755748913,95.0,3,3,33.640,-84.427,0.0,47.449,-122.309,0.0,2177.8278963505427,Morning,1
110,2024-01-20,18:38:00,IAH,AUS,2024-01-20 18:38:00,18,6,28.769499999999997,3.7290242386575514,37.4,0,1,29.980,-95.340,1.0,30.194,-97.670,1.0,140.07837976980062,Evening,3
113,2024-12-26,12:50:00,STL,SEA,2024-12-26 12:50:00,12,4,55.23743999999999,3.7290242386575514,68.0,0,2,38.748,-90.360,2.0,47.449,-122.309,0.0,1705.7626610271386,Afternoon,2
3,2024-08-19,07:28:00,MCO,LAS,2024-08-19 07:28:00,7,1,55.23743999999999,11.187072715972654,91.4,2,3,28.429,-81.316,3.0,36.080,-115.152,2.0,2035.3136272493737,Morning,1
22,2024-12-07,07:10:00,LAX,SEA,2024-12-07 07:10:00,7,6,39.12652,12.430080795525171,82.4,0,1,33.942,-118.408,4.0,47.449,-122.309,0.0,955.035945260845,Morning,1
72,2024-09-09,14:02:00,IND,PHL,2024-09-09 14:02:00,14,1,52.93588,9.322560596643878,82.4,3,2,39.717,-86.294,5.0,39.872,-75.241,3.0,586.5065249651991,Afternoon,2
133,2024-10-27,15:30:00,PHL,MSP,2024-10-27 15:30:00,15,7,54.086659999999995,7.458048477315103,91.4,3,3,39.872,-75.241,6.0,44.880,-93.217,4.0,978.0515580392009,Afternoon,2
130,2024-11-24,04:31:00,BOS,MCI,2024-11-24 04:31:00,4,7,6.904679999999999,2.4860161591050343,66.2,3,1,42.364,-71.005,7.0,39.297,-94.714,5.0,1253.2534699210842,Night,4
61,2024-08-12,09:38:00,CLT,DTW,2024-08-12 09:38:00,9,1,33.37262,12.430080795525171,5.0,2,2,35.214,-80.943,8.0,42.212,-83.353,6.0,500.6113055924987,Morning,1
161,2024-09-03,11:19:00,PHL,IAD,2024-09-03 11:19:00,11,2,2.30156,4.35052827843381,44.6,3,3,39.872,-75.241,6.0,38.944,-77.456,7.0,134.5076312432302,Morning,1
79,2024-07-05,06:57:00,LAX,TPA,2024-07-05 06:57:00,6,5,17.261699999999998,8.70105655686762,96.8,2,2,33.942,-118.408,4.0,27.975,-82.533,8.0,2153.9848018819057,Morning,1
62,2024-09-13,06:57:00,PHX,AUS,2024-09-13 06:57:00,6,5,41.428079999999994,6.836544437538844,93.2,3,3,33.434,-112.008,9.0,30.194,-97.670,1.0,870.2672680717906,Morning,1
18,2024-01-07,00:22:00,DFW,BNA,2024-01-07 00:22:00,0,7,0.0,3.7290242386575514,-2.200000000000003,0,2,32.896,-97.037,10.0,36.124,-86.678,9.0,630.138560197424,Night,4
42,2024-11-13,09:04:00,IAD,MIA,2024-11-13 09:04:00,9,3,29.920279999999998,1.8645121193287757,10.399999999999999,3,2,38.944,-77.456,11.0,25.793,-80.291,10.0,923.4509009582661,Morning,1
87,2024-01-20,14:36:00,ORD,SFO,2024-01-20 14:36:00,14,6,46.0312,8.079552517091361,84.2,0,1,41.979,-87.904,12.0,37.619,-122.375,11.0,1841.7818746453775,Afternoon,2
93,2024-05-03,16:36:00,IAD,SLC,2024-05-03 16:36:00,16,5,24.166379999999997,10.565568676196396,62.6,1,3,38.944,-77.456,11.0,40.788,-111.978,12.0,1823.4080057155836,Afternoon,2
181,2024-03-19,04:56:00,CLT,ORD,2024-03-19 04:56:00,4,2,49.48354,1.8645121193287757,53.6,1,3,35.214,-80.943,8.0,41.979,-87.904,13.0,599.3653606257578,Night,4
95,2024-10-28,16:04:00,SAN,SFO,2024-10-28 16:04:00,16,1,31.07106,8.079552517091361,78.8,3,1,32.733,-117.189,13.0,37.619,-122.375,11.0,446.7702322165626,Afternoon,2
122,2024-05-24,07:02:00,DTW,LAX,2024-05-24 07:02:00,7,5,6.904679999999999,3.7290242386575514,10.399999999999999,1,2,42.212,-83.353,14.0,33.942,-118.408,14.0,1974.7973159361363,Morning,1
112,2024-12-17,21:04:00,PHX,SLC,2024-12-17 21:04:00,21,2,8.05546,8.079552517091361,10.399999999999999,0,1,33.434,-112.008,9.0,40.788,-111.978,12.0,508.1206491633732,Evening,3
158,2024-08-05,05:43:00,ORD,BOS,2024-08-05 05:43:00,5,1,2.30156,1.2430080795525171,12.2,2,1,41.979,-87.904,12.0,42.364,-71.005,15.0,864.353085145062,Morning,1
168,2024-01-17,16:20:00,IAD,IND,2024-01-17 16:20:00,16,3,32.22184,9.944064636420137,68.0,0,1,38.944,-77.456,11.0,39.717,-86.294,16.0,475.1545049825157,Afternoon,2
101,2024-03-09,14:15:00,ORD,BOS,2024-03-09 14:15:00,14,6,5.7539,3.7290242386575514,23.0,1,1,41.979,-87.904,12.0,42.364,-71.005,15.0,864.353085145062,Afternoon,2
132,2024-01-10,07:59:00,STL,MCO,2024-01-10 07:59:00,7,3,13.809359999999998,3.7290242386575514,73.4,0,1,38.748,-90.360,2.0,28.429,-81.316,17.0,881.725076143727,Morning,1
200,2024-09-03,08:19:00,LAS,TPA,2024-09-03 08:19:00,8,2,21.864819999999998,4.9720323182100685,60.8,3,3,36.080,-115.152,15.0,27.975,-82.533,8.0,1980.6374196580673,Morning,1
39,2024-12-26,00:02:00,IAD,IAH,2024-12-26 00:02:00,0,4,52.93588,9.322560596643878,69.8,0,3,38.944,-77.456,11.0,29.980,-95.340,18.0,1189.0179580912593,Night,4
124,2024-03-19,01:16:00,CMH,STL,2024-03-19 01:16:00,1,2,20.714039999999997,9.322560596643878,3.1999999999999993,1,1,39.998,-82.892,16.0,38.748,-90.360,19.0,407.98948043592486,Night,4
164,2024-03-16,22:06:00,SFO,SEA,2024-03-16 22:06:00,22,6,44.880419999999994,11.187072715972654,60.8,1,1,37.619,-122.375,17.0,47.449,-122.309,0.0,679.2031887191441,Night,4
12,2024-07-11,12:51:00,PHL,LAX,2024-07-11 12:51:00,12,4,9.20624,12.430080795525171,84.2,2,2,39.872,-75.241,6.0,33.942,-118.408,14.0,2396.2478075371732,Afternoon,2
